2026-06-28 18:49:21 | INFO     | sysadmin_toolkit.config.config_manager | Keine user_config.json gefunden – erstelle aus Default.
2026-06-28 18:49:47 | INFO     | sysadmin_toolkit.config.config_manager | Keine user_config.json gefunden – erstelle aus Default.
2026-06-28 18:49:47 | INFO     | sysadmin_toolkit.config.config_manager | Konfiguration erfolgreich geladen aus C:\Elias\VS Code\my big portfolio\config\user_config.json
2026-06-28 18:50:02 | INFO     | sysadmin_toolkit.config.config_manager | Konfiguration erfolgreich geladen aus C:\Elias\VS Code\my big portfolio\config\user_config.json
2026-06-28 18:50:21 | INFO     | sysadmin_toolkit.config.config_manager | Konfiguration erfolgreich geladen aus C:\Elias\VS Code\my big portfolio\config\user_config.json
2026-06-28 18:50:22 | INFO     | sysadmin_toolkit.core.system_info | Erstelle Systemschnappschuss...
2026-06-28 18:50:22 | INFO     | sysadmin_toolkit.core.system_info | Erstelle Systemschnappschuss...
2026-06-28 18:50:23 | WARNING  | sysadmin_toolkit.core.system_info | Festplatte Q:\ nicht lesbar: [WinError 5] Zugriff verweigert: 'Q:\\'
2026-06-28 18:50:23 | WARNING  | sysadmin_toolkit.core.system_info | Festplatte Q:\ nicht lesbar: [WinError 5] Zugriff verweigert: 'Q:\\'
2026-06-28 18:50:23 | INFO     | sysadmin_toolkit.core.system_info | Systemschnappschuss erfolgreich erstellt.
2026-06-28 18:50:23 | INFO     | sysadmin_toolkit.core.system_info | Systemschnappschuss erfolgreich erstellt.
2026-06-28 18:50:29 | INFO     | sysadmin_toolkit.core.system_info | Erstelle Systemschnappschuss...
2026-06-28 18:50:29 | WARNING  | sysadmin_toolkit.core.system_info | Festplatte Q:\ nicht lesbar: [WinError 5] Zugriff verweigert: 'Q:\\'
2026-06-28 18:50:29 | INFO     | sysadmin_toolkit.core.system_info | Systemschnappschuss erfolgreich erstellt.
2026-06-28 18:50:36 | INFO     | sysadmin_toolkit.core.system_info | Erstelle Systemschnappschuss...
2026-06-28 18:50:36 | WARNING  | sysadmin_toolkit.core.system_info | Festplatte Q:\ nicht lesbar: [WinError 5] Zugriff verweigert: 'Q:\\'
2026-06-28 18:50:36 | INFO     | sysadmin_toolkit.core.system_info | Systemschnappschuss erfolgreich erstellt.
2026-06-28 18:50:43 | INFO     | sysadmin_toolkit.core.system_info | Erstelle Systemschnappschuss...
2026-06-28 18:50:43 | WARNING  | sysadmin_toolkit.core.system_info | Festplatte Q:\ nicht lesbar: [WinError 5] Zugriff verweigert: 'Q:\\'
2026-06-28 18:50:43 | INFO     | sysadmin_toolkit.core.system_info | Systemschnappschuss erfolgreich erstellt.
2026-06-28 18:50:49 | INFO     | sysadmin_toolkit.core.system_info | Erstelle Systemschnappschuss...
2026-06-28 18:50:49 | WARNING  | sysadmin_toolkit.core.system_info | Festplatte Q:\ nicht lesbar: [WinError 5] Zugriff verweigert: 'Q:\\'
2026-06-28 18:50:49 | INFO     | sysadmin_toolkit.core.system_info | Systemschnappschuss erfolgreich erstellt.
2026-06-28 18:50:55 | INFO     | sysadmin_toolkit.core.system_info | Erstelle Systemschnappschuss...
2026-06-28 18:50:55 | WARNING  | sysadmin_toolkit.core.system_info | Festplatte Q:\ nicht lesbar: [WinError 5] Zugriff verweigert: 'Q:\\'
2026-06-28 18:50:55 | INFO     | sysadmin_toolkit.core.system_info | Systemschnappschuss erfolgreich erstellt.
2026-06-28 18:51:00 | INFO     | sysadmin_toolkit.core.system_info | Erstelle Systemschnappschuss...
2026-06-28 18:51:01 | WARNING  | sysadmin_toolkit.core.system_info | Festplatte Q:\ nicht lesbar: [WinError 5] Zugriff verweigert: 'Q:\\'
2026-06-28 18:51:01 | INFO     | sysadmin_toolkit.core.system_info | Systemschnappschuss erfolgreich erstellt.
2026-06-28 18:51:05 | INFO     | sysadmin_toolkit.core.system_info | Erstelle Systemschnappschuss...
2026-06-28 18:51:06 | WARNING  | sysadmin_toolkit.core.system_info | Festplatte Q:\ nicht lesbar: [WinError 5] Zugriff verweigert: 'Q:\\'
2026-06-28 18:51:06 | INFO     | sysadmin_toolkit.core.system_info | Systemschnappschuss erfolgreich erstellt.
2026-06-28 18:51:11 | INFO     | sysadmin_toolkit.core.system_info | Erstelle Systemschnappschuss...
2026-06-28 18:51:11 | WARNING  | sysadmin_toolkit.core.system_info | Festplatte Q:\ nicht lesbar: [WinError 5] Zugriff verweigert: 'Q:\\'
2026-06-28 18:51:11 | INFO     | sysadmin_toolkit.core.system_info | Systemschnappschuss erfolgreich erstellt.
2026-06-28 18:51:17 | INFO     | sysadmin_toolkit.core.system_info | Erstelle Systemschnappschuss...
2026-06-28 18:51:17 | WARNING  | sysadmin_toolkit.core.system_info | Festplatte Q:\ nicht lesbar: [WinError 5] Zugriff verweigert: 'Q:\\'
2026-06-28 18:51:17 | INFO     | sysadmin_toolkit.core.system_info | Systemschnappschuss erfolgreich erstellt.
2026-06-28 18:51:23 | INFO     | sysadmin_toolkit.core.system_info | Erstelle Systemschnappschuss...
2026-06-28 18:51:23 | WARNING  | sysadmin_toolkit.core.system_info | Festplatte Q:\ nicht lesbar: [WinError 5] Zugriff verweigert: 'Q:\\'
2026-06-28 18:51:23 | INFO     | sysadmin_toolkit.core.system_info | Systemschnappschuss erfolgreich erstellt.
2026-06-28 18:51:29 | INFO     | sysadmin_toolkit.core.system_info | Erstelle Systemschnappschuss...
2026-06-28 18:51:29 | WARNING  | sysadmin_toolkit.core.system_info | Festplatte Q:\ nicht lesbar: [WinError 5] Zugriff verweigert: 'Q:\\'
2026-06-28 18:51:29 | INFO     | sysadmin_toolkit.core.system_info | Systemschnappschuss erfolgreich erstellt.
2026-06-28 18:51:36 | INFO     | sysadmin_toolkit.core.system_info | Erstelle Systemschnappschuss...
2026-06-28 18:51:36 | WARNING  | sysadmin_toolkit.core.system_info | Festplatte Q:\ nicht lesbar: [WinError 5] Zugriff verweigert: 'Q:\\'
2026-06-28 18:51:36 | INFO     | sysadmin_toolkit.core.system_info | Systemschnappschuss erfolgreich erstellt.
2026-06-28 18:51:42 | INFO     | sysadmin_toolkit.core.system_info | Erstelle Systemschnappschuss...
2026-06-28 18:51:42 | WARNING  | sysadmin_toolkit.core.system_info | Festplatte Q:\ nicht lesbar: [WinError 5] Zugriff verweigert: 'Q:\\'
2026-06-28 18:51:42 | INFO     | sysadmin_toolkit.core.system_info | Systemschnappschuss erfolgreich erstellt.
2026-06-28 18:51:48 | INFO     | sysadmin_toolkit.core.system_info | Erstelle Systemschnappschuss...
2026-06-28 18:51:48 | WARNING  | sysadmin_toolkit.core.system_info | Festplatte Q:\ nicht lesbar: [WinError 5] Zugriff verweigert: 'Q:\\'
2026-06-28 18:51:48 | INFO     | sysadmin_toolkit.core.system_info | Systemschnappschuss erfolgreich erstellt.
2026-06-28 18:51:50 | INFO     | sysadmin_toolkit.config.config_manager | Konfiguration erfolgreich geladen aus C:\Elias\VS Code\my big portfolio\config\user_config.json
2026-06-28 18:51:54 | INFO     | sysadmin_toolkit.core.system_info | Erstelle Systemschnappschuss...
2026-06-28 18:51:55 | WARNING  | sysadmin_toolkit.core.system_info | Festplatte Q:\ nicht lesbar: [WinError 5] Zugriff verweigert: 'Q:\\'
2026-06-28 18:51:55 | INFO     | sysadmin_toolkit.core.system_info | Systemschnappschuss erfolgreich erstellt.
2026-06-28 18:52:00 | INFO     | sysadmin_toolkit.core.system_info | Erstelle Systemschnappschuss...
2026-06-28 18:52:01 | WARNING  | sysadmin_toolkit.core.system_info | Festplatte Q:\ nicht lesbar: [WinError 5] Zugriff verweigert: 'Q:\\'
2026-06-28 18:52:01 | INFO     | sysadmin_toolkit.core.system_info | Systemschnappschuss erfolgreich erstellt.
2026-06-28 18:52:06 | INFO     | sysadmin_toolkit.core.system_info | Erstelle Systemschnappschuss...
2026-06-28 18:52:06 | WARNING  | sysadmin_toolkit.core.system_info | Festplatte Q:\ nicht lesbar: [WinError 5] Zugriff verweigert: 'Q:\\'
2026-06-28 18:52:06 | INFO     | sysadmin_toolkit.core.system_info | Systemschnappschuss erfolgreich erstellt.
2026-06-28 18:52:12 | INFO     | sysadmin_toolkit.core.system_info | Erstelle Systemschnappschuss...
2026-06-28 18:52:12 | WARNING  | sysadmin_toolkit.core.system_info | Festplatte Q:\ nicht lesbar: [WinError 5] Zugriff verweigert: 'Q:\\'
2026-06-28 18:52:12 | INFO     | sysadmin_toolkit.core.system_info | Systemschnappschuss erfolgreich erstellt.
2026-06-28 18:52:17 | INFO     | sysadmin_toolkit.core.system_info | Erstelle Systemschnappschuss...
2026-06-28 18:52:18 | WARNING  | sysadmin_toolkit.core.system_info | Festplatte Q:\ nicht lesbar: [WinError 5] Zugriff verweigert: 'Q:\\'
2026-06-28 18:52:18 | INFO     | sysadmin_toolkit.core.system_info | Systemschnappschuss erfolgreich erstellt.
2026-06-28 18:52:23 | INFO     | sysadmin_toolkit.core.system_info | Erstelle Systemschnappschuss...
2026-06-28 18:52:23 | WARNING  | sysadmin_toolkit.core.system_info | Festplatte Q:\ nicht lesbar: [WinError 5] Zugriff verweigert: 'Q:\\'
2026-06-28 18:52:23 | INFO     | sysadmin_toolkit.core.system_info | Systemschnappschuss erfolgreich erstellt.
2026-06-28 18:52:29 | INFO     | sysadmin_toolkit.core.system_info | Erstelle Systemschnappschuss...
2026-06-28 18:52:30 | WARNING  | sysadmin_toolkit.core.system_info | Festplatte Q:\ nicht lesbar: [WinError 5] Zugriff verweigert: 'Q:\\'
2026-06-28 18:52:30 | INFO     | sysadmin_toolkit.core.system_info | Systemschnappschuss erfolgreich erstellt.
2026-06-28 18:52:35 | INFO     | sysadmin_toolkit.core.system_info | Erstelle Systemschnappschuss...
2026-06-28 18:52:35 | WARNING  | sysadmin_toolkit.core.system_info | Festplatte Q:\ nicht lesbar: [WinError 5] Zugriff verweigert: 'Q:\\'
2026-06-28 18:52:35 | INFO     | sysadmin_toolkit.core.system_info | Systemschnappschuss erfolgreich erstellt.
2026-06-28 18:52:40 | INFO     | sysadmin_toolkit.core.system_info | Erstelle Systemschnappschuss...
2026-06-28 18:52:40 | WARNING  | sysadmin_toolkit.core.system_info | Festplatte Q:\ nicht lesbar: [WinError 5] Zugriff verweigert: 'Q:\\'
2026-06-28 18:52:40 | INFO     | sysadmin_toolkit.core.system_info | Systemschnappschuss erfolgreich erstellt.
2026-06-28 18:52:43 | INFO     | sysadmin_toolkit.config.config_manager | Konfiguration erfolgreich geladen aus C:\Elias\VS Code\my big portfolio\config\user_config.json
2026-06-28 18:52:46 | INFO     | sysadmin_toolkit.core.system_info | Erstelle Systemschnappschuss...
2026-06-28 18:52:46 | WARNING  | sysadmin_toolkit.core.system_info | Festplatte Q:\ nicht lesbar: [WinError 5] Zugriff verweigert: 'Q:\\'
2026-06-28 18:52:46 | INFO     | sysadmin_toolkit.core.system_info | Systemschnappschuss erfolgreich erstellt.
2026-06-28 18:52:52 | INFO     | sysadmin_toolkit.core.system_info | Erstelle Systemschnappschuss...
2026-06-28 18:52:52 | WARNING  | sysadmin_toolkit.core.system_info | Festplatte Q:\ nicht lesbar: [WinError 5] Zugriff verweigert: 'Q:\\'
2026-06-28 18:52:52 | INFO     | sysadmin_toolkit.core.system_info | Systemschnappschuss erfolgreich erstellt.
2026-06-28 18:52:57 | INFO     | sysadmin_toolkit.core.system_info | Erstelle Systemschnappschuss...
2026-06-28 18:52:57 | WARNING  | sysadmin_toolkit.core.system_info | Festplatte Q:\ nicht lesbar: [WinError 5] Zugriff verweigert: 'Q:\\'
2026-06-28 18:52:57 | INFO     | sysadmin_toolkit.core.system_info | Systemschnappschuss erfolgreich erstellt.
2026-06-28 18:53:02 | INFO     | sysadmin_toolkit.core.system_info | Erstelle Systemschnappschuss...
2026-06-28 18:53:02 | WARNING  | sysadmin_toolkit.core.system_info | Festplatte Q:\ nicht lesbar: [WinError 5] Zugriff verweigert: 'Q:\\'
2026-06-28 18:53:03 | INFO     | sysadmin_toolkit.core.system_info | Systemschnappschuss erfolgreich erstellt.
2026-06-28 18:53:08 | INFO     | sysadmin_toolkit.core.system_info | Erstelle Systemschnappschuss...
2026-06-28 18:53:08 | WARNING  | sysadmin_toolkit.core.system_info | Festplatte Q:\ nicht lesbar: [WinError 5] Zugriff verweigert: 'Q:\\'
2026-06-28 18:53:08 | INFO     | sysadmin_toolkit.core.system_info | Systemschnappschuss erfolgreich erstellt.
2026-06-28 18:53:14 | INFO     | sysadmin_toolkit.core.system_info | Erstelle Systemschnappschuss...
2026-06-28 18:53:14 | WARNING  | sysadmin_toolkit.core.system_info | Festplatte Q:\ nicht lesbar: [WinError 5] Zugriff verweigert: 'Q:\\'
2026-06-28 18:53:14 | INFO     | sysadmin_toolkit.core.system_info | Systemschnappschuss erfolgreich erstellt.
2026-06-28 18:53:19 | INFO     | sysadmin_toolkit.core.system_info | Erstelle Systemschnappschuss...
2026-06-28 18:53:19 | WARNING  | sysadmin_toolkit.core.system_info | Festplatte Q:\ nicht lesbar: [WinError 5] Zugriff verweigert: 'Q:\\'
2026-06-28 18:53:19 | INFO     | sysadmin_toolkit.core.system_info | Systemschnappschuss erfolgreich erstellt.
2026-06-28 18:53:24 | INFO     | sysadmin_toolkit.core.system_info | Erstelle Systemschnappschuss...
2026-06-28 18:53:24 | WARNING  | sysadmin_toolkit.core.system_info | Festplatte Q:\ nicht lesbar: [WinError 5] Zugriff verweigert: 'Q:\\'
2026-06-28 18:53:24 | INFO     | sysadmin_toolkit.core.system_info | Systemschnappschuss erfolgreich erstellt.
2026-06-28 18:53:29 | INFO     | sysadmin_toolkit.core.system_info | Erstelle Systemschnappschuss...
2026-06-28 18:53:29 | WARNING  | sysadmin_toolkit.core.system_info | Festplatte Q:\ nicht lesbar: [WinError 5] Zugriff verweigert: 'Q:\\'
2026-06-28 18:53:29 | INFO     | sysadmin_toolkit.core.system_info | Systemschnappschuss erfolgreich erstellt.
2026-06-28 18:53:34 | INFO     | sysadmin_toolkit.core.system_info | Erstelle Systemschnappschuss...
2026-06-28 18:53:35 | WARNING  | sysadmin_toolkit.core.system_info | Festplatte Q:\ nicht lesbar: [WinError 5] Zugriff verweigert: 'Q:\\'
2026-06-28 18:53:35 | INFO     | sysadmin_toolkit.core.system_info | Systemschnappschuss erfolgreich erstellt.
2026-06-28 18:53:40 | INFO     | sysadmin_toolkit.core.system_info | Erstelle Systemschnappschuss...
2026-06-28 18:53:40 | WARNING  | sysadmin_toolkit.core.system_info | Festplatte Q:\ nicht lesbar: [WinError 5] Zugriff verweigert: 'Q:\\'
